Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Output_Dash,Output_Skill,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Target_Dash,Target_Skill,Loss
2,0.11,5.40,-1.0351,0.3620,163.1543,0.9087,2.3360,-6.6413,13.5814,12.6559,3.9316,2.3360,-6.6413,0.1065,12.6559,3.9316,36.314870
2,0.13,5.50,-1.0351,0.3620,-172.8458,0.9087,1.7150,11.1962,-10.7177,-10.4639,-2.3095,1.7150,0.1254,-10.7177,-10.4639,-2.3095,24.512600
2,0.19,5.60,-1.0351,0.3620,167.1543,0.9087,1.7033,-5.7952,13.3164,12.2946,4.2075,1.7033,0.1921,13.3164,12.2946,4.2075,7.169544
2,0.13,5.70,-1.0351,0.3620,147.1542,0.9087,1.8399,-5.4610,13.1398,12.3412,4.0025,1.8399,-5.4610,0.1254,12.3412,4.0025,33.874730
2,0.11,5.80,-1.0351,0.3620,167.1543,0.9087,1.9096,-5.2289,12.8391,12.3663,4.0025,1.9096,-5.2289,0.1065,12.3663,4.0025,32.423820
2,0.14,5.90,-1.0351,0.3620,-172.8458,0.9087,2.0574,10.7614,-9.9170,-9.8618,-1.7056,2.0574,0.1388,-9.9170,-9.8618,-1.7056,22.568180
2,0.21,6.00,-1.0351,0.3620,163.1543,0.9087,1.8489,-5.1775,11.9885,11.8670,3.8563,1.8489,-5.1775,11.9885,11.8670,0.2054,2.665829
2,0.14,6.10,-1.0351,0.3620,143.1542,0.9087,1.6738,-4.3608,11.5314,11.5547,3.8563,1.6738,-4.3608,0.1388,11.5547,3.8563,25.958590
2,0.09,6.20,-1.0351,0.3620,163.1543,0.9087,1.3172,-4.2436,11.4059,11.5207,3.7676,1.3172,-4.2436,11.4059,0.0931,3.7676,26.117840
2,0.14,6.30,-1.0351,0.3620,-176.8458,0.9087,3.4113,9.1012,-8.5051,-7.8053,-1.4647,3.4113,0.1388,-8.5051,-7.8053,-1.4647,16.064910
2,0.21,6.40,-1.0351,0.3620,163.1543,0.9087,0.6421,-3.9204,10.5555,9.8205,3.3382,0.6421,0.2054,10.5555,9.8205,3.3382,3.404475
2,0.14,6.50,-1.0351,0.3620,143.1542,0.9087,0.9041,-3.1981,9.8913,9.4567,3.3382,0.9041,-3.1981,0.1388,9.4567,3.3382,19.022550
2,0.09,6.60,-1.0351,0.3620,163.1543,0.9087,0.7397,-2.7879,9.7132,9.3999,3.6451,0.7397,-2.7879,0.0931,9.3999,3.6451,18.509010
2,0.14,6.70,-1.0351,0.3620,-176.8458,0.9087,3.8076,7.5698,-7.0707,-7.4932,-0.9413,3.8076,0.1388,-7.0707,-7.4932,-0.9413,11.044110
2,0.22,6.80,-1.0351,0.3620,163.1543,0.9087,0.8266,-2.1683,9.2480,8.9845,3.1004,0.8266,-2.1683,9.2480,0.2188,3.1004,15.367530
2,0.15,6.90,-1.0351,0.3620,139.1543,0.9087,0.7149,-2.2359,9.0171,8.7879,3.0877,0.7149,-2.2359,0.1521,8.7879,3.0877,15.717560
2,0.09,7.00,-1.0351,0.3620,159.1543,0.9087,0.6208,-2.3660,8.7260,8.3043,3.0094,0.6208,-2.3660,0.0854,8.3043,3.0094,14.931760
2,0.15,7.10,-1.0351,0.3620,179.1544,0.9087,0.5451,-1.7188,8.4064,8.5700,3.0094,0.5451,-1.7188,0.1465,8.5700,3.0094,13.645420
2,0.09,7.20,-1.0351,0.3620,-160.8457,0.9087,4.0634,6.1797,-6.2983,-6.2690,-0.6685,4.0634,0.0854,-6.2983,-6.2690,-0.6685,7.428127
2,0.15,7.30,-1.0351,0.3620,179.1544,0.9087,0.5301,-0.5739,8.0322,8.4951,3.0918,0.5301,-0.5739,0.1465,8.4951,3.0918,12.436990
2,0.21,7.40,-1.0351,0.3620,-160.8457,0.9087,3.8192,5.6379,-5.7356,-6.7913,-0.6913,3.8192,5.6379,-5.7356,0.2131,-0.6913,9.812360
2,0.13,7.50,-1.0351,0.3620,-140.8457,0.9087,3.3687,5.4910,-5.2364,-6.3510,-0.6475,3.3687,0.1331,-5.2364,-6.3510,-0.6475,5.741359
2,0.10,7.60,-1.0351,0.3620,-164.8457,0.9087,3.2276,5.5455,-4.8312,-6.1085,-0.6210,3.2276,0.0988,-4.8312,-6.1085,-0.6210,5.933341
2,0.17,7.70,-1.0351,0.3620,175.1543,0.9087,1.7326,-0.2458,6.2147,8.4718,3.1220,1.7326,-0.2458,6.2147,0.1654,3.1220,13.799250
2,0.23,7.80,-1.0351,0.3620,155.1543,0.9087,1.5020,0.1366,6.0976,8.3134,2.8672,1.5020,0.1366,6.0976,0.2321,2.8672,13.061500
2,0.30,7.90,-1.0351,0.3620,135.1542,0.9087,1.4700,0.2503,6.2466,7.9644,2.6724,1.4700,0.2503,6.2466,0.2988,2.6724,11.752350
2,0.38,8.00,-1.0351,0.3620,115.1542,0.9087,1.3973,0.1719,6.2258,7.5850,2.8721,1.3973,0.1719,6.2258,0.3788,2.8721,10.386010
2,0.45,8.10,-1.0351,0.3620,91.1542,0.9087,1.4159,-0.0950,5.9783,7.3702,3.0530,1.4159,-0.0950,5.9783,0.4454,3.0530,9.590425
2,0.51,8.20,-1.0351,0.3620,71.1542,0.9087,1.5334,-0.1223,5.8233,7.1442,3.0170,1.5334,-0.1223,5.8233,0.5121,3.0170,8.797037
2,0.58,8.30,-1.0351,0.3620,51.1542,0.9087,1.5573,-0.3150,5.7097,7.2213,2.9215,1.5573,-0.3150,5.7097,0.5788,2.9215,8.824742
2,0.58,8.40,-1.0351,0.3620,31.1542,0.9087,1.8797,0.0936,5.4570,6.8996,2.8753,1.8797,0.0936,5.4570,0.5816,2.8753,7.983593
2,0.48,8.50,-1.0351,0.3620,30.3085,0.9087,1.9532,0.0897,5.1914,6.4097,2.8753,1.9532,0.0897,0.4806,6.4097,2.8753,4.438436
2,0.48,8.60,-1.0351,0.3620,60.6170,0.9087,2.2198,0.3565,5.1536,6.2178,2.8554,2.2198,0.3565,5.1536,0.4806,2.8554,6.583234
2,0.48,8.70,-1.0351,0.3620,60.6170,0.9087,2.1627,0.3308,4.9841,5.8616,2.9178,2.1627,0.3308,4.9841,0.4806,2.9178,5.791067
2,0.48,8.80,-1.0351,0.3620,60.6170,0.9087,2.1949,0.4464,4.9118,5.6654,2.8320,2.1949,0.4464,4.9118,0.4806,2.8320,5.376486
2,0.48,8.90,-1.0351,0.3620,60.6170,0.9087,2.1775,0.4459,4.4716,5.2445,2.7394,2.1775,0.4459,4.4716,0.4806,2.7394,4.539083
2,0.41,9.00,-1.0351,0.3620,60.6170,0.9087,2.1221,0.6198,4.3975,5.1715,2.7377,2.1221,0.6198,0.4139,5.1715,2.7377,3.173915
2,0.35,9.10,-1.0351,0.3620,80.6170,0.9087,2.1882,0.6636,4.0150,5.0729,2.6585,2.1882,0.6636,4.0150,0.3472,2.6585,4.466424
2,0.28,9.20,-1.0351,0.3620,100.6170,0.9087,2.1882,0.7022,3.7559,4.9589,2.5641,2.1882,0.7022,3.7559,0.2806,2.5641,4.377401
2,0.28,9.30,-1.0351,0.3620,120.6170,0.9087,2.3088,0.8306,3.7847,4.8216,2.4932,2.3088,0.8306,3.7847,0.2785,2.4932,4.127990
2,0.28,9.40,-1.0351,0.3620,121.2340,0.9087,2.2602,0.8912,3.7259,4.6206,2.4793,2.2602,0.8912,3.7259,0.2785,2.4793,3.770787
2,0.21,9.50,-1.0351,0.3620,121.2340,0.9087,2.1829,1.0712,3.5741,4.7825,2.4811,2.1829,1.0712,0.2118,4.7825,2.4811,2.260917
2,0.15,9.60,-1.0351,0.3620,141.2340,0.9087,2.2148,0.9529,3.4415,4.4646,2.5885,2.2148,0.9529,3.4415,0.1452,2.5885,3.731460
2,0.09,9.70,-1.0351,0.3620,161.2340,0.9087,2.1578,1.1014,3.3213,4.7207,2.3827,2.1578,1.1014,3.3213,0.0867,2.3827,4.294842
2,0.15,9.80,-1.0351,0.3620,-178.7662,0.9087,2.9539,3.9103,-1.8240,-2.3406,0.4742,2.9539,0.1452,-1.8240,-2.3406,0.4742,2.835213
2,0.21,9.90,-1.0351,0.3620,161.2340,0.9087,2.1387,1.2639,3.1680,4.3465,2.3278,2.1387,1.2639,3.1680,0.2118,2.3278,3.419185
3,0.21,0.00,-1.0351,0.3620,161.2340,0.9087,2.1164,1.3563,2.9516,4.4123,2.2561,2.1164,1.3563,2.9516,0.2118,2.2561,3.528730
3,0.35,0.10,-1.0351,0.3620,121.2339,0.9087,2.1452,1.4273,2.7785,3.8839,2.2212,2.1452,1.4273,2.7785,0.3452,2.2212,2.504494
3,0.43,0.20,-1.0351,0.3620,101.2339,0.9087,2.1778,1.5285,2.8201,3.8169,2.2212,2.1778,1.5285,2.8201,0.4252,2.2212,2.300771
3,0.56,0.30,-1.0351,0.3620,77.2339,0.9087,2.1962,1.4819,2.8784,3.6815,2.1935,2.1962,1.4819,2.8784,0.5585,2.1935,1.950611
3,0.63,0.40,-1.0351,0.3620,37.2339,0.9087,2.1805,1.4345,2.9094,3.9279,2.2048,2.1805,1.4345,2.9094,0.6252,2.2048,2.181637
3,0.67,0.50,-1.0351,0.3620,17.2339,0.9087,2.2037,1.3632,3.1394,3.7476,2.2116,2.2037,1.3632,3.1394,0.6744,2.2116,1.888873
3,1.39,0.60,-1.0351,0.3620,2.4678,0.9087,2.3492,1.4041,3.1817,3.6781,2.2573,2.3492,1.4041,3.1817,5.0384,2.2573,0.370093
3,1.57,0.70,-0.8872,0.3608,2.6862,0.8349,2.3558,1.2157,3.0324,4.0425,2.0887,5.5757,1.2157,3.0324,4.0425,2.0887,2.073542
3,1.67,0.80,-0.7098,0.3592,3.0054,0.7463,2.2812,1.2700,3.0990,4.0042,2.0795,2.2812,1.2700,3.0990,5.6377,2.0795,0.533625
3,1.75,0.90,-0.5866,0.3581,3.2758,0.6847,2.3636,1.4434,3.2482,3.8326,2.0768,2.3636,1.4434,3.2482,5.5419,2.0768,0.584334
3,1.80,1.00,-0.4961,0.3574,3.5073,0.6396,2.4608,1.4138,2.8556,3.9135,2.0445,2.4608,1.4138,2.8556,5.6771,2.0445,0.622029
3,1.84,1.10,-0.4297,0.3568,3.6992,0.6064,2.4597,1.6594,2.9107,3.9167,1.9878,2.4597,1.6594,2.9107,5.7207,1.9878,0.650890
3,1.87,1.20,-0.3810,0.3564,3.8539,0.5821,2.5482,1.6971,2.9455,3.7396,2.0144,2.5482,1.6971,2.9455,5.5751,2.0144,0.673788
