Episode,Step,PosX,PosY,Angle,DistN,AccProb,TurnLeftProb,TurnRightProb,DashProb,SkillProb,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,95,0.48,0.42,0.00,0.15,0.1968,0.1919,0.1892,0.1935,0.1986,1,4.1965,1.5906,1.5906,-4.1964,17.6101,1.0548,4.1964,0.9785,4.1992
0,96,0.57,0.42,-13.65,0.12,0.1969,0.1843,0.1789,0.2057,0.2042,4,3.5989,1.5892,1.5892,-3.5990,12.9528,0.2551,3.5990,0.9740,3.5848
0,97,0.55,0.42,-68.96,0.19,0.1919,0.1800,0.1676,0.2237,0.2067,3,2.8212,1.5857,1.5857,-2.8216,7.9614,-0.4649,2.8216,1.1220,2.7789
0,98,0.53,0.42,-113.78,0.24,0.1876,0.1828,0.1688,0.2250,0.2057,3,2.1850,1.5859,1.5859,-2.1856,4.7768,-0.7843,2.1856,1.0883,2.1303
0,99,0.52,0.42,-138.88,0.28,0.1860,0.1837,0.1694,0.2254,0.2055,4,1.8252,1.5859,1.5859,-1.8258,3.3334,-0.8575,1.8258,1.0016,1.7656
1,0,0.51,0.42,-159.21,0.31,0.1850,0.1842,0.1698,0.2257,0.2053,2,1.5305,1.5859,1.5859,-1.5931,2.5405,-0.8627,0.0000,0.0000,1.5305
0,1,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,1,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.8411,3.0232
0,2,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,1,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0140,3.0232
0,3,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,2,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0000,3.0232
0,4,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,3,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.9861,3.0232
0,5,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,2,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0190,3.0232
0,6,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,2,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.9813,3.0232
0,7,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,3,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0000,3.0232
0,8,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,1,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0190,3.0232
0,9,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,2,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.9951,3.0232
0,10,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,3,2.5216,1.5906,1.5906,-2.5216,6.3584,-0.6459,2.5216,0.9861,2.5232
0,11,0.00,0.42,0.00,0.59,0.1970,0.1922,0.1896,0.1931,0.1980,4,3.3173,1.5906,1.5906,-3.3173,11.0043,-0.0478,3.3173,1.0189,3.3186
0,12,0.00,0.42,0.00,0.50,0.1970,0.1923,0.1896,0.1931,0.1981,0,3.4905,1.5906,1.5906,-3.4905,12.1836,0.1328,3.4905,1.0256,3.4917
0,13,0.00,0.42,0.00,0.45,0.1969,0.1923,0.1895,0.1931,0.1981,3,3.5919,1.5906,1.5906,-3.5919,12.9016,0.2468,3.5919,0.9942,3.5930
0,14,0.00,0.42,0.00,0.42,0.1969,0.1923,0.1895,0.1931,0.1981,2,3.6623,1.5906,1.5906,-3.6623,13.4125,0.3296,3.6623,0.9806,3.6634
0,15,0.00,0.42,0.00,0.39,0.1969,0.1923,0.1895,0.1931,0.1982,1,3.7140,1.5906,1.5906,-3.7140,13.7938,0.3923,3.7140,0.9815,3.7151
