Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Loss
1,1.45,1.50,-0.4533,0.4245,0.0000,0.6173,122.0471,101.1873,119.7871,121.9821,101.1873,119.7871,0.001410
1,1.51,1.60,-0.3688,0.4245,0.0000,0.5750,121.1121,112.1481,119.4585,121.1121,108.6791,119.4585,4.011271
1,1.62,1.70,-0.2485,0.4245,-20.0000,0.5149,-4.1286,-52.8501,110.7976,-4.1286,-52.8501,121.2268,36.256380
1,1.77,1.80,-0.1985,0.4245,0.0000,0.4899,121.8587,108.7211,119.7643,122.1903,108.7211,119.7643,0.036639
1,1.93,1.90,-0.0523,0.4245,0.0000,0.4168,121.0866,108.5849,120.6020,121.7327,108.5849,120.6020,0.139173
1,2.07,2.00,0.1071,0.4245,0.0000,0.3371,121.1017,108.2574,118.8219,121.9945,108.2574,118.8219,0.265711
1,2.23,2.10,0.2534,0.4245,0.0000,0.2639,118.3494,107.0578,118.9085,119.6642,107.0578,118.9085,0.576210
1,2.23,2.20,0.4128,0.4245,0.0000,0.1842,119.1436,107.6547,119.4647,119.1436,107.6547,119.9817,0.089085
1,2.29,2.30,0.4678,0.4245,20.0000,0.1567,119.5424,112.6444,41.1967,120.6360,112.6444,41.1967,0.398657
1,2.26,2.40,0.5472,0.3957,27.0363,0.1179,109.1630,113.8231,40.0207,108.5360,113.8231,40.0207,0.131030
1,2.17,2.50,0.5865,0.3405,-7.8940,0.1577,35.1025,-27.5884,102.4981,35.1025,-27.5884,103.4125,0.278685
1,2.07,2.60,0.5904,0.3224,-23.9529,0.1800,27.7677,-39.5170,100.2438,27.7677,-39.5170,101.3121,0.380469
1,2.01,2.70,0.5951,0.3012,-41.9610,0.2063,24.9543,-30.5726,102.5936,24.9543,-30.5726,103.5818,0.325496
1,1.99,2.80,0.5977,0.2890,-51.4773,0.2215,24.3683,-17.0479,96.8608,97.8867,-17.0479,96.8608,1801.651000
1,1.97,2.90,0.5987,0.2847,-54.6417,0.2269,28.9238,-17.1903,97.5666,28.9238,-17.1903,98.5612,0.329772
1,2.02,3.00,0.5999,0.2791,-58.3901,0.2337,25.1653,-8.6013,102.1401,25.1653,-8.6013,103.1404,0.333598
1,2.12,3.10,0.6002,0.2774,-38.3138,0.2359,22.9179,-22.2142,103.7006,22.9179,-22.2142,114.7909,40.998430
1,2.26,3.20,0.6006,0.2757,0.0280,0.2386,112.7218,117.4834,106.5357,107.0553,117.4834,106.5357,10.702770
1,2.31,3.30,0.7364,0.3300,-0.9937,0.1667,103.9947,94.6597,107.4218,103.9947,94.6597,104.5830,2.686216
1,2.25,3.40,0.8236,0.3649,18.7653,0.1200,106.4611,77.1798,44.2367,107.4837,77.1798,44.2367,0.348574
1,1.12,3.50,0.8788,0.3381,-15.5603,0.1522,33.5091,-5.5515,108.1325,33.5091,-5.5515,126.4809,112.220900
1,1.27,3.60,-0.6971,0.4245,0.0000,0.7392,123.3586,122.1928,105.5909,121.7364,122.1928,105.5909,0.877120
1,1.41,3.70,-0.5509,0.4245,0.0000,0.6661,120.7489,116.2828,106.6123,118.0959,116.2828,106.6123,2.346042
1,1.57,3.80,-0.4047,0.4245,0.0000,0.5930,101.2594,88.5536,99.1746,100.7438,88.5536,99.1746,0.088597
1,1.72,3.90,-0.2453,0.4245,0.0000,0.5133,99.6194,88.6885,97.5460,99.7445,88.6885,97.5460,0.005213
1,1.87,4.00,-0.0991,0.4245,0.0000,0.4402,100.9480,88.3724,98.5940,101.3323,88.3724,98.5940,0.049221
1,2.03,4.10,0.0472,0.4245,0.0000,0.3671,102.2769,89.2780,100.7580,102.7244,89.2780,100.7580,0.066766
1,2.17,4.20,0.2066,0.4245,0.0000,0.2873,108.4831,104.4191,102.9963,108.5784,104.4191,102.9963,0.003029
1,2.32,4.30,0.3528,0.4245,0.0000,0.2142,107.0819,94.8363,101.7214,107.9402,94.8363,101.7214,0.245555
1,2.08,4.40,0.4990,0.4245,0.0000,0.1411,113.7819,106.6152,103.5701,106.8680,106.6152,103.5701,15.933980
1,1.74,4.50,0.5421,0.4245,-59.4278,0.1755,36.8290,-15.2025,103.8717,36.8290,-15.2025,104.5691,0.162134
